ID;BirthDate;FirstName;LastName;gender;student-ID;EmailAddress;AddressLine1;Housenr;City;PostalCode;;PhoneNumber;Verwandschaftsgrad;Notfallkontakt
15;29.01.1978;Brian;Walker;1;7;brian3@adventure-works.com;11, avenue du Président-Kennedy;3;Bobigny;93000;;716-555-0127;4;1
16;26.05.1987;Yvonne;Welcker;2;8;yvonne0@adventure-works.com;11, quai de l´ Iton;1;Boulogne-Billancourt;92100;;286-555-0189;1;1
17;17.05.1990;John;Welcker;1;8;john4@adventure-works.com;11, quai de l´ Iton;1;Boulogne-Billancourt;92100;;254-555-0114;2;0
18;27.08.1987;Kitti;Ersan;2;9;kitti0@adventure-works.com;1, rue de Varenne;2;Boulogne-Billancourt;92100;;785-555-0132;2;1
19;04.02.1975;Ebru;Ersan;1;9;ebru0@adventure-works.com;1, rue de Varenne;2;Boulogne-Billancourt;92100;;202-555-0187;1;0
20;09.03.1968;Terri;Duffy;1;9;terri0@adventure-works.com;11, rue de l'Espace De Schengen;15;Boulogne-Billancourt;92100;;819-555-0175;4;1
21;31.05.1991;Sandeep;Sacksteder;1;10;sandeep0@adventure-works.com;1020 Book Road;14;Bremerton;98312;;166-555-0156;2;1
22;13.11.1980;Lane;Sacksteder;2;10;lane0@adventure-works.com;1020 Book Road;14;Bremerton;98312;;200-555-0117;1;0
23;25.06.1989;Diane;Fitzgerald;2;12;diane1@adventure-works.com;1008 Lydia Lane;75;Bremerton;98312;;815-555-0138;1;0
24;25.01.1990;Charles;Fitzgerald;1;12;charles0@adventure-works.com;1008 Lydia Lane;75;Bremerton;98312;;931-555-0118;2;1
25;03.05.1974;Barbara;Decker;2;11;barbara0@adventure-works.com;1016 Park Avenue;63;Burbank;91502;;119-555-0192;3;1
26;03.01.1982;Lola;Hesse;2;13;lolan0@adventure-works.com;1054 Vine Circle;44;Burbank;91502;;582-555-0178;1;0
27;01.12.1986;Stefen;Hesse;1;13;stefen0@adventure-works.com;1054 Vine Circle;44;Burbank;91502;;165-555-0113;2;1
28;28.02.1985;Rachel;Valdez;1;13;rachel0@adventure-works.com;1060 Mcelroy Court;12;Burbank;91502;;1 (11) 500 555-0140;1;1
29;25.12.1975;Michael;Galvin;1;14;michael5@adventure-works.com;1077 Willow Court;54;Burbank;91502;;296-555-0121;2;1
30;18.03.1977;Janice;Galvin;2;14;janice0@adventure-works.com;1077 Willow Court;54;Burbank;98168;;473-555-0117;1;0
31;07.12.1988;Laura;Norman-Young;2;15;laura1@adventure-works.com;1029 Birchwood Dr;87;Burien;98168;;615-555-0110;1;1
32;10.05.1988;Garrett;Young;1;15;garrett0@adventure-works.com;1029 Birchwood Dr;87;Burien;98168;;609-555-0179;2;0
33;05.11.1975;Marcella;Ingle;1;16;stuart1@adventure-works.com;1028 Royal Oak Rd.;33;Burlingame;94010;;539-555-0149;1;1
34;20.05.1986;Stuart;Philips;1;17;marc0@adventure-works.com;1083 W. Hookston Road;60;Burlingame;95000;;234-555-0169;2;1
35;17.12.1971;Carola;Philips;2;17;carol0@adventure-works.com;1083 W. Hookston Road;60;Burlingame;95000;;609-555-0153;1;0
36;03.11.1982;Diane;Tibbott;2;18;diane2@adventure-works.com;1, rue de l´Avenir;80;Chatou;78400;;361-555-0180;1;0
37;05.12.1966;Gary;Tibbott;1;18;gary0@adventure-works.com;107, rue des Bouchers;80;Chatou;78400;;901-555-0125;2;1
38;17.05.1975;Jason;Tibbott;1;18;jason0@adventure-works.com;11, quai de l´ Iton;80;Chatou;78400;;571-555-0179;4;0
39;05.09.1971;Ivo;Kim;1;19;ivo0@adventure-works.com;1071 Stanz Grace St.;40;Chula Vista;91910;;115-555-0179;2;0
40;28.03.1989;Shanea;Kim;1;19;shane0@adventure-works.com;1071 Stanz Grace St.;40;Chula Vista;91910;;810-555-0178;1;1
41;24.04.1954;Ranjit;Ortiz;1;20;ranjit0@adventure-works.com;1044 San Carlos;59;Cincinnati;91910;;1 (11) 500 555-0117;1;1
42;22.06.1983;David;Ortiz;1;20;david2@adventure-works.com;1044 San Carlos;59;Cincinnati;91910;;712-555-0119;2;0
43;26.06.1978;Greg;Alderson;1;21;greg0@adventure-works.com;101 Adobe Dr;41;Coffs Harbour;2450;;332-555-0150;2;1
44;15.06.1989;Peng;Wu-Alderson;2;21;peng0@adventure-works.com;101 Adobe Dr;41;Coffs Harbour;2450;;164-555-0164;1;1
45;11.04.1984;Lynn;Tomic;2;22;lynn0@adventure-works.com;1005 Fremont Street;76;Colma;94014;;1 (11) 500 555-0190;1;1
46;12.11.1970;Dragan;Tomic;1;22;dragan0@adventure-works.com;1005 Fremont Street;76;Colma;94014;;117-555-0185;2;0
47;02.04.1983;Brian;LaMee;1;22;brian1@adventure-works.com;1046 San Carlos Avenue;2;Colma;94014;;313-555-0196;2;1
48;10.07.1977;Terrence;Reeves;1;23;terrence0@adventure-works.com;1005, rue des Bouchers;84;Colombes;92700;;110-555-0115;2;0
49;13.09.1986;Randy;Reeves;2;23;randy0@adventure-works.com;1005, rue des Bouchers;84;Colombes;92700;;961-555-0122;1;1
50;26.10.1983;Paula;Pellow;2;24;paul1@adventure-works.com;1032 Cowell Road;86;Colombes;92700;;727-555-0112;1;1
51;16.10.1974;Frank;Pellow;1;24;frank2@adventure-works.com;1032 Cowell Road;86;Colombes;92700;;163-555-0147;2;0
52;12.05.1952;Candice;Spoon-Alberts;2;25;candy0@adventure-works.com;11, allée des Princes;112;Colombes;92700;;920-555-0177;1;1
53;06.03.1978;Amy;Alberts;1;25;amy0@adventure-works.com;11, allée des Princes;112;Colomiers;92700;;775-555-0164;1;0
